資料夾名稱,部落格網址,圖片數量
"taiwan_advanced_training2016","https://carfix.instawp.dev/taiwan_advanced_training2016",15
"italy_dbexpo2026","https://carfix.instawp.dev/italy_dbexpo2026",37
"china-first-competition","https://carfix.instawp.dev/china-first-competition",25
"2026mte_3rd_place","https://carfix.instawp.dev/2026mte_3rd_place",16
"2023asia_advanced_training","https://carfix.instawp.dev/2023asia_advanced_training",29
"mazda3-gpr","https://carfix.instawp.dev/mazda3-gpr",16
"44km-lexusnx350","https://carfix.instawp.dev/44km-lexusnx350",9
"superiorpdr-pdr-college","https://carfix.instawp.dev/superiorpdr-pdr-college",54
"2022-08-17-teslamodel3smash","https://carfix.instawp.dev/2022-08-17-teslamodel3smash",5
"porsche-718-gts撞到了！！凹痕修復鑽洞才能處理？不鑽洞的","https://carfix.instawp.dev/porsche-718-gts%e6%92%9e%e5%88%b0%e4%ba%86%ef%bc%81%ef%bc%81%e5%87%b9%e7%97%95%e4%bf%ae%e5%be%a9%e9%91%bd%e6%b4%9e%e6%89%8d%e8%83%bd%e8%99%95%e7%90%86%ef%bc%9f%e4%b8%8d%e9%91%bd%e6%b4%9e%e7%9a%84",7
"lexus_streched_dent","https://carfix.instawp.dev/lexus_streched_dent",3
"mercedesbenz_aluminum","https://carfix.instawp.dev/mercedesbenz_aluminum",6
"toyotahiacesmashdent","https://carfix.instawp.dev/toyotahiacesmashdent",4
"卓越汽車微板金旗艦中心特別的111年1月11日正式開幕","https://carfix.instawp.dev/%e5%8d%93%e8%b6%8a%e6%b1%bd%e8%bb%8a%e5%be%ae%e6%9d%bf%e9%87%91%e6%97%97%e8%89%a6%e4%b8%ad%e5%bf%83%e7%89%b9%e5%88%a5%e7%9a%84111%e5%b9%b41%e6%9c%8811%e6%97%a5%e6%ad%a3%e5%bc%8f%e9%96%8b%e5%b9%95",7
"為證明修車實力老婆竟動手砸自己愛車！凹痕修復","https://carfix.instawp.dev/%e7%82%ba%e8%ad%89%e6%98%8e%e4%bf%ae%e8%bb%8a%e5%af%a6%e5%8a%9b%e8%80%81%e5%a9%86%e7%ab%9f%e5%8b%95%e6%89%8b%e7%a0%b8%e8%87%aa%e5%b7%b1%e6%84%9b%e8%bb%8a%ef%bc%81%e5%87%b9%e7%97%95%e4%bf%ae%e5%be%a9",6
"卓越科普小教室ep2-你們的疑問我們都來為你解惑！","https://carfix.instawp.dev/%e5%8d%93%e8%b6%8a%e7%a7%91%e6%99%ae%e5%b0%8f%e6%95%99%e5%ae%a4ep2-%e4%bd%a0%e5%80%91%e7%9a%84%e7%96%91%e5%95%8f%e6%88%91%e5%80%91%e9%83%bd%e4%be%86%e7%82%ba%e4%bd%a0%e8%a7%a3%e6%83%91%ef%bc%81",11
"為了把凹痕修好，臉要弄髒！我們台中店的阿毛毛","https://carfix.instawp.dev/%e7%82%ba%e4%ba%86%e6%8a%8a%e5%87%b9%e7%97%95%e4%bf%ae%e5%a5%bd%ef%bc%8c%e8%87%89%e8%a6%81%e5%bc%84%e9%ab%92%ef%bc%81%e6%88%91%e5%80%91%e5%8f%b0%e4%b8%ad%e5%ba%97%e7%9a%84%e9%98%bf%e6%af%9b%e6%af%9b",5
"挺過疫情！凹痕修復教育訓練中心-學生終於畢業啦","https://carfix.instawp.dev/%e6%8c%ba%e9%81%8e%e7%96%ab%e6%83%85%ef%bc%81%e5%87%b9%e7%97%95%e4%bf%ae%e5%be%a9%e6%95%99%e8%82%b2%e8%a8%93%e7%b7%b4%e4%b8%ad%e5%bf%83-%e5%ad%b8%e7%94%9f%e7%b5%82%e6%96%bc%e7%95%a2%e6%a5%ad%e5%95%a6",3
"edgy-tools-wedge-light-凹痕修復工具車窗檔介紹","https://carfix.instawp.dev/edgy-tools-wedge-light-%e5%87%b9%e7%97%95%e4%bf%ae%e5%be%a9%e5%b7%a5%e5%85%b7%e8%bb%8a%e7%aa%97%e6%aa%94%e4%bb%8b%e7%b4%b9",3
"卓越新單元科普小教室：國產車？進口車？修復迷","https://carfix.instawp.dev/%e5%8d%93%e8%b6%8a%e6%96%b0%e5%96%ae%e5%85%83%e7%a7%91%e6%99%ae%e5%b0%8f%e6%95%99%e5%ae%a4%ef%bc%9a%e5%9c%8b%e7%94%a2%e8%bb%8a%ef%bc%9f%e9%80%b2%e5%8f%a3%e8%bb%8a%ef%bc%9f%e4%bf%ae%e5%be%a9%e8%bf%b7",16
"南強工商-x-卓越凹痕-新北創新教育加速器計劃","https://carfix.instawp.dev/%e5%8d%97%e5%bc%b7%e5%b7%a5%e5%95%86-x-%e5%8d%93%e8%b6%8a%e5%87%b9%e7%97%95-%e6%96%b0%e5%8c%97%e5%89%b5%e6%96%b0%e6%95%99%e8%82%b2%e5%8a%a0%e9%80%9f%e5%99%a8%e8%a8%88%e5%8a%83",7
"五倍卷本週五開始啟用！你們想好要怎麼使用了嗎","https://carfix.instawp.dev/%e4%ba%94%e5%80%8d%e5%8d%b7%e6%9c%ac%e9%80%b1%e4%ba%94%e9%96%8b%e5%a7%8b%e5%95%9f%e7%94%a8%ef%bc%81%e4%bd%a0%e5%80%91%e6%83%b3%e5%a5%bd%e8%a6%81%e6%80%8e%e9%ba%bc%e4%bd%bf%e7%94%a8%e4%ba%86%e5%97%8e",3
"重機油桶凹了怎麼辦？選擇最佳方式不怕生鏽、不","https://carfix.instawp.dev/%e9%87%8d%e6%a9%9f%e6%b2%b9%e6%a1%b6%e5%87%b9%e4%ba%86%e6%80%8e%e9%ba%bc%e8%be%a6%ef%bc%9f%e9%81%b8%e6%93%87%e6%9c%80%e4%bd%b3%e6%96%b9%e5%bc%8f%e4%b8%8d%e6%80%95%e7%94%9f%e9%8f%bd%e3%80%81%e4%b8%8d",1
"你們想知道這樣的凹痕在同部位同鈑件的修復價格","https://carfix.instawp.dev/%e4%bd%a0%e5%80%91%e6%83%b3%e7%9f%a5%e9%81%93%e9%80%99%e6%a8%a3%e7%9a%84%e5%87%b9%e7%97%95%e5%9c%a8%e5%90%8c%e9%83%a8%e4%bd%8d%e5%90%8c%e9%88%91%e4%bb%b6%e7%9a%84%e4%bf%ae%e5%be%a9%e5%83%b9%e6%a0%bc",4
"卓越凹痕全體同仁-祝大家中秋節快樂！！","https://carfix.instawp.dev/%e5%8d%93%e8%b6%8a%e5%87%b9%e7%97%95%e5%85%a8%e9%ab%94%e5%90%8c%e4%bb%81-%e7%a5%9d%e5%a4%a7%e5%ae%b6%e4%b8%ad%e7%a7%8b%e7%af%80%e5%bf%ab%e6%a8%82%ef%bc%81%ef%bc%81",7
"tesla-model3內部結構整形、外皮凹痕整平作品｜後葉超大","https://carfix.instawp.dev/tesla-model3%e5%85%a7%e9%83%a8%e7%b5%90%e6%a7%8b%e6%95%b4%e5%bd%a2%e3%80%81%e5%a4%96%e7%9a%ae%e5%87%b9%e7%97%95%e6%95%b4%e5%b9%b3%e4%bd%9c%e5%93%81%ef%bd%9c%e5%be%8c%e8%91%89%e8%b6%85%e5%a4%a7",1
"【亞洲首創】凹痕修復pdr專業教室，微板金人才培","https://carfix.instawp.dev/%e3%80%90%e4%ba%9e%e6%b4%b2%e9%a6%96%e5%89%b5%e3%80%91%e5%87%b9%e7%97%95%e4%bf%ae%e5%be%a9pdr%e5%b0%88%e6%a5%ad%e6%95%99%e5%ae%a4%ef%bc%8c%e5%be%ae%e6%9d%bf%e9%87%91%e4%ba%ba%e6%89%8d%e5%9f%b9",1
